id,ACTION
1,0.9528940798033002
2,0.9906561513151182
3,0.9973841851179156
4,0.9824898332775781
5,0.9980887572227478
6,0.9958298546499184
7,0.9541792925334802
8,0.99983719840518
9,0.8717215044881567
10,0.9769494550263597
11,0.9960246162490445
12,0.9737694613787344
13,0.9963333887390721
14,0.5115914730700296
15,0.9745116596825133
16,0.9879061742586953
17,0.5422046190566178
18,0.8803390434313628
19,0.9990561504999174
20,0.999139492886274
21,0.9995480327465613
22,0.9794976397024345
23,0.9976613574312995
24,0.9806411057857544
25,0.9994039687911628
26,0.9521919150817068
27,0.9933509872924244
28,0.9953790684833976
29,0.9938527338044133
30,0.9329913374233536
31,0.9961605292977557
32,0.9892381023918597
33,0.9960127456026833
34,0.9965149941814859
35,0.994911751107646
36,0.9982572788556111
37,0.9799757641555829
38,0.9994022563276305
39,0.9909877800217497
40,0.9703448312587452
41,0.7173266123183819
42,0.9969554352069364
43,0.9904849638506957
44,0.9965486345789325
45,0.9977909593420671
46,0.987455042349405
47,0.9990656867318971
48,0.9954990985746017
49,0.9998742925337281
50,0.9939925043097653
51,0.9593043931151807
52,0.9964008574972631
53,0.9743858980129475
54,0.9980224363682194
55,0.9987953215504214
56,0.9975940226027054
57,0.9848552504048826
58,0.9984739706991652
59,0.9972233757201838
60,0.9987382727017888
61,0.9967994572383048
62,0.9995822073772621
63,0.9936411452991584
64,0.9987781234492832
65,0.9993279049075251
66,0.9893931106800312
67,0.9781918031648275
68,0.9992438110655576
69,0.9914208447902736
70,0.5295762740951975
71,0.9882752851608955
72,0.9929506294785333
73,0.9988938090053895
74,0.9987336015679179
75,0.9935030057624483
76,0.9957244891962925
77,0.9986555601699129
78,0.943810088078952
79,0.768738258681877
80,0.9982444993893856
81,0.9992617532951567
82,0.9982119340354592
83,0.9950269394873718
84,0.9965778176053114
85,0.9936490201266638
86,0.9936398210875581
87,0.9890845677307523
88,0.9979240418751232
89,0.9944263529233879
90,0.9617681917165846
91,0.9850201055792779
92,0.6966616588320442
93,0.9984429393514672
94,0.9943806100635993
95,0.9953465285104041
96,0.9991630678308228
97,0.7116339698897264
98,0.9973051470963045
99,0.9917167165992962
100,0.9988019780072397
